,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths,media_movel_casos,media_movel_obitos
345350,,32.0,2020-07-09,202028,4064052.0,4018650.0,False,False,60009,1476.58052,2020-07-09,0.0321,1929,127,state,ES,1168,17,1395.2857142857142,28.857142857142858
345430,,32.0,2020-07-10,202028,4064052.0,4018650.0,False,False,61361,1509.84781,2020-07-10,0.0321,1967,128,state,ES,1352,38,1381.7142857142858,29.857142857142858
345510,,32.0,2020-07-11,202028,4064052.0,4018650.0,False,False,62393,1535.24118,2020-07-11,0.032,1995,129,state,ES,1032,28,1367.0,30.571428571428573
345590,,32.0,2020-07-12,202029,4064052.0,4018650.0,False,False,62873,1547.05206,2020-07-12,0.032,2010,130,state,ES,480,15,1354.2857142857142,29.571428571428573
345670,,32.0,2020-07-13,202029,4064052.0,4018650.0,False,False,63881,1571.85489,2020-07-13,0.0319,2040,131,state,ES,1008,30,1333.4285714285713,29.142857142857142
345750,,32.0,2020-07-14,202029,4064052.0,4018650.0,False,False,65213,1604.63006,2020-07-14,0.0319,2082,132,state,ES,1332,42,1215.7142857142858,29.0
345830,,32.0,2020-07-15,202029,4064052.0,4018650.0,False,False,66352,1632.6562800000002,2020-07-15,0.0316,2096,133,state,ES,1139,14,1073.0,26.285714285714285
345910,,32.0,2020-07-16,202029,4064052.0,4018650.0,False,False,68118,1676.11044,2020-07-16,0.0314,2136,134,state,ES,1766,40,1158.4285714285713,29.571428571428573
345990,,32.0,2020-07-17,202029,4064052.0,4018650.0,False,False,69463,1709.2054899999998,2020-07-17,0.0313,2174,135,state,ES,1345,38,1157.4285714285713,29.571428571428573
346070,,32.0,2020-07-18,202029,4064052.0,4018650.0,False,False,70131,1725.6422899999998,2020-07-18,0.0314,2202,136,state,ES,668,28,1105.4285714285713,29.571428571428573
346150,,32.0,2020-07-19,202030,4064052.0,4018650.0,False,False,70609,1737.40395,2020-07-19,0.0315,2222,137,state,ES,478,20,1105.142857142857,30.285714285714285
346230,,32.0,2020-07-20,202030,4064052.0,4018650.0,False,False,71703,1764.3229,2020-07-20,0.0315,2256,138,state,ES,1094,34,1117.4285714285713,30.857142857142858
346310,,32.0,2020-07-21,202030,4064052.0,4018650.0,False,False,72605,1786.5175,2020-07-21,0.0314,2280,139,state,ES,902,24,1056.0,28.285714285714285
346390,,32.0,2020-07-22,202030,4064052.0,4018650.0,False,False,73755,1814.81438,2020-07-22,0.0313,2308,140,state,ES,1150,28,1057.5714285714287,30.285714285714285
346470,,32.0,2020-07-23,202030,4064052.0,4018650.0,False,False,74610,1835.8524899999998,2020-07-23,0.0314,2341,141,state,ES,855,33,927.4285714285714,29.285714285714285
346550,,32.0,2020-07-24,202030,4064052.0,4018650.0,False,False,75854,1866.4623399999998,2020-07-24,0.0313,2373,142,state,ES,1244,32,913.0,28.428571428571427
346630,,32.0,2020-07-25,202030,4064052.0,4018650.0,False,False,76598,1884.7691899999998,2020-07-25,0.0311,2386,143,state,ES,744,13,923.8571428571429,26.285714285714285
346710,,32.0,2020-07-26,202031,4064052.0,4018650.0,False,False,77201,1899.6066,2020-07-26,0.0312,2411,144,state,ES,603,25,941.7142857142857,27.0
346790,,32.0,2020-07-27,202031,4064052.0,4018650.0,False,False,78180,1923.69586,2020-07-27,0.0312,2437,145,state,ES,979,26,925.2857142857143,25.857142857142858
346870,,32.0,2020-07-28,202031,4064052.0,4018650.0,False,False,79468,1955.38837,2020-07-28,0.031,2462,146,state,ES,1288,25,980.4285714285714,26.0
346950,,32.0,2020-07-29,202031,4064052.0,4018650.0,False,False,80647,1984.39882,2020-07-29,0.0309,2490,147,state,ES,1179,28,984.5714285714286,26.0
347030,,32.0,2020-07-30,202031,4064052.0,4018650.0,False,False,81886,2014.8856399999997,2020-07-30,0.0307,2514,148,state,ES,1239,24,1039.4285714285713,24.714285714285715
347110,,32.0,2020-07-31,202031,4064052.0,4018650.0,False,False,83292,2049.48165,2020-07-31,0.0305,2544,149,state,ES,1406,30,1062.5714285714287,24.428571428571427
347190,,32.0,2020-08-01,202031,4064052.0,4018650.0,False,False,83814,2062.32597,2020-08-01,0.0306,2565,150,state,ES,522,21,1030.857142857143,25.571428571428573
347270,,32.0,2020-08-02,202032,4064052.0,4018650.0,False,False,84255,2073.1772100000003,2020-08-02,0.0306,2578,151,state,ES,441,13,1007.7142857142857,23.857142857142858
